date,climate change quotes
2015-01-01,34
2015-02-01,8
2015-03-01,6
2015-04-01,2
2015-05-01,14
2015-06-01,18
2015-07-01,29
2015-08-01,30
2015-09-01,19
2015-10-01,65
2015-11-01,91
2015-12-01,79
2016-01-01,1
2016-02-01,23
2016-03-01,2
2016-04-01,29
2016-05-01,41
2016-06-01,7
2016-07-01,49
2016-08-01,9
2016-09-01,21
2016-11-01,2
2016-12-01,25
2017-01-01,1
2017-02-01,7
2017-03-01,23
2017-04-01,17
2017-05-01,11
2017-06-01,17
2017-07-01,2
2017-08-01,6
2017-09-01,20
2017-10-01,11
2017-11-01,9
2017-12-01,6
2018-01-01,14
2018-02-01,6
2018-03-01,3
2018-04-01,2
2018-06-01,4
2018-07-01,8
2018-08-01,4
2018-09-01,3
2018-10-01,17
2018-11-01,10
2018-12-01,20
2019-01-01,34
2019-02-01,31
2019-03-01,32
2019-04-01,22
2019-05-01,29
2019-06-01,27
2019-07-01,34
2019-08-01,76
2019-09-01,73
2019-10-01,38
2019-11-01,60
2019-12-01,53
2020-01-01,75
2020-02-01,89
2020-03-01,37
2020-04-01,5
