date,climate change quotes
2015-01-01,2
2015-03-01,2
2015-04-01,2
2015-06-01,6
2015-07-01,6
2015-08-01,9
2015-09-01,33
2015-10-01,16
2015-11-01,15
2015-12-01,37
2016-01-01,1
2016-02-01,6
2016-03-01,1
2016-04-01,18
2016-05-01,67
2016-06-01,2
2016-07-01,27
2016-08-01,36
2016-09-01,96
2016-10-01,2
2016-11-01,8
2016-12-01,85
2017-01-01,2
2017-02-01,36
2017-03-01,109
2017-04-01,82
2017-05-01,72
2017-06-01,322
2017-07-01,57
2017-08-01,51
2017-09-01,54
2017-10-01,43
2017-11-01,47
2017-12-01,75
2018-01-01,68
2018-02-01,30
2018-03-01,16
2018-04-01,20
2018-05-01,29
2018-06-01,12
2018-07-01,21
2018-08-01,33
2018-09-01,25
2018-10-01,51
2018-11-01,107
2018-12-01,43
2019-01-01,49
2019-02-01,52
2019-03-01,51
2019-04-01,25
2019-05-01,29
2019-06-01,77
2019-07-01,38
2019-08-01,33
2019-09-01,34
2019-10-01,41
2019-11-01,40
2019-12-01,37
2020-01-01,30
2020-02-01,19
2020-03-01,17
2020-04-01,5
